Date,Close/Last,Volume,Open,High,Low
08/01/2022,$51.16,5467306,$49.61,$53.39,$48.53
07/29/2022,$50.32,4169316,$48.76,$50.44,$47.92
07/28/2022,$48.65,3632658,$48.16,$49.41,$46.26
07/27/2022,$48.68,4825106,$47.47,$49.09,$46.25
07/26/2022,$45.68,5106707,$48.55,$48.71,$45.2467
07/25/2022,$49.79,2548497,$51.25,$51.445,$49.13
07/22/2022,$51.65,3778593,$55.18,$56.2988,$51.49
07/21/2022,$55.82,3857320,$53.18,$55.88,$52.53
07/20/2022,$53,8266461,$50.44,$55.93,$50.4
07/19/2022,$49.54,4553734,$50.202,$50.32,$46.87
07/18/2022,$48.83,5209379,$47.92,$50.2896,$47.35
07/15/2022,$46.6,4887320,$45.66,$46.69,$44.25
07/14/2022,$44.61,5479723,$46.11,$46.33,$43.67
07/13/2022,$46.78,4811545,$45.46,$48.84,$44.29
07/12/2022,$47.37,5273068,$51.02,$53.56,$47.02
07/11/2022,$50.69,4015141,$51.94,$52.2899,$48.84
07/08/2022,$52.08,4546857,$51.27,$54.15,$49.9
07/07/2022,$52.74,4250808,$49.96,$53.59,$49.91
07/06/2022,$50.35,5802419,$50.46,$52.25,$49.41
07/05/2022,$50.5,5684315,$44.73,$50.58,$43.8201
07/01/2022,$45.9,4343487,$44.66,$45.98,$43.22
06/30/2022,$43.75,5141826,$45.25,$45.39,$41.9
06/29/2022,$45.87,3750249,$45.65,$46.68,$44.21
06/28/2022,$45.44,5041708,$48.8,$49.85,$44.8
06/27/2022,$49.25,4643229,$51.51,$52.47,$48.74
06/24/2022,$51.84,5854990,$49.37,$51.85,$48.85
06/23/2022,$48.2,5063405,$45.22,$48.45,$43.78
06/22/2022,$44.34,3959209,$42.95,$45.45,$42.6
06/21/2022,$43.62,5482318,$41.85,$44.7,$41.85
06/17/2022,$41.21,12260260,$40.13,$42.24,$40.1
06/16/2022,$39.7,6906774,$41.49,$41.63,$38.96
06/15/2022,$43.56,6258260,$41.45,$44.57,$40.98
06/14/2022,$40.79,7177492,$41.74,$42.57,$39.64
06/13/2022,$41.59,9087571,$43.99,$45.73,$41.28
06/10/2022,$47.36,7427300,$49.2,$49.49,$45.78
06/09/2022,$51.6,4660492,$55.04,$55.04,$51.57
06/08/2022,$55.06,3130064,$55.28,$57.4099,$54.58
06/07/2022,$54.73,4595059,$53.43,$54.95,$51.75
06/06/2022,$53.91,4036543,$55.42,$56.69,$53.44
06/03/2022,$54.54,4994154,$56.46,$57.8,$53.9
06/02/2022,$57.9,7833243,$54.85,$59.88,$54.32
06/01/2022,$55.11,4100362,$57.09,$59.14,$53.98
05/31/2022,$56,6052717,$59.86,$59.86,$55.18
05/27/2022,$58.91,5012553,$57.77,$59.5699,$56.0844
05/26/2022,$56.05,5424201,$50.41,$56.57,$50.15
05/25/2022,$51.96,6885102,$51.16,$52.85,$50.11
05/24/2022,$50.5,7053186,$55.26,$55.26,$50.03
05/23/2022,$56.75,4371198,$54.59,$58.16,$54.2701
05/20/2022,$55.69,6157429,$59.56,$61.4,$53.25
05/19/2022,$58,7454408,$54.04,$59.35,$53.7
05/18/2022,$53.36,7775184,$55.24,$56.41,$51.71
05/17/2022,$56.27,9525953,$59.97,$61.29,$53.8052
05/16/2022,$57.36,7653506,$64.2,$64.95,$57
05/13/2022,$66.38,8849576,$59.12,$67.5966,$58.9
05/12/2022,$56.73,8963270,$53.08,$63.1,$51.5
05/11/2022,$54.81,9128644,$56.54,$60.9,$54.63
05/10/2022,$56.98,11022120,$59.29,$60.87,$51
05/09/2022,$56.56,9819312,$63.17,$64.42,$56
05/06/2022,$65.61,16745460,$65.41,$70.1483,$60.9
05/05/2022,$77.81,10345840,$88.2,$88.2,$75.8
05/04/2022,$90.4,7154790,$89.83,$90.7599,$80.9201
05/03/2022,$89.68,3274795,$89.73,$93.65,$87.6901
05/02/2022,$89.91,3920964,$85.97,$90.06,$84.81
04/29/2022,$86.14,3719198,$94.17,$97.82,$85.87
04/28/2022,$95.25,3364579,$92.51,$97.04,$88.44
04/27/2022,$90.59,2818323,$92.12,$94.8599,$89.8
04/26/2022,$90.74,3421318,$98.16,$98.73,$90.52
04/25/2022,$98.71,3905505,$94.56,$99.495,$93.27
04/22/2022,$95.22,3141080,$98.54,$102.83,$95.03
04/21/2022,$98.49,3543653,$105.14,$108.88,$97.04
04/20/2022,$103.7,4163959,$111.32,$111.69,$101.38
04/19/2022,$111.15,2475026,$107.5,$112.42,$104.55
04/18/2022,$108.15,3103038,$112.56,$113.5515,$105.041
04/14/2022,$113.98,3608090,$120.58,$122.52,$113.55
04/13/2022,$121.63,4066108,$113.54,$121.91,$112.81
04/12/2022,$113.92,4845244,$112.58,$119.97,$112.48
04/11/2022,$109.64,3061053,$107.27,$111.3396,$104.125
