Date,Close/Last,Volume,Open,High,Low
08/01/2022,$103.45,4757630,$99.8,$105.53,$97.625
07/29/2022,$102.01,6691983,$98.5,$102.3,$96.87
07/28/2022,$95.72,4152513,$93.32,$96.3,$91.41
07/27/2022,$94.06,6819899,$90.19,$95.02,$87.78
07/26/2022,$85.72,5900299,$89.35,$89.35,$84.46
07/25/2022,$90.49,3534263,$94,$94.01,$89.465
07/22/2022,$93.79,4743196,$100.9,$106.21,$93.57
07/21/2022,$101.23,3835874,$100.37,$102.1,$98.5489
07/20/2022,$100.88,5223264,$96.23,$102.467,$95.23
07/19/2022,$92.96,4748923,$92.85,$93.4,$87.8
07/18/2022,$91.04,4985210,$95.37,$96.77,$90.8
07/15/2022,$93.6,4460736,$94.65,$96.78,$92.216
07/14/2022,$93.78,3206689,$96.3,$96.49,$91.56
07/13/2022,$97.34,4852536,$95.26,$101.14,$92.13
07/12/2022,$97.32,6087309,$104.69,$107.2549,$95.57
07/11/2022,$104.01,3211977,$106.41,$107.09,$101.07
07/08/2022,$108.29,3961672,$105.3,$111.41,$103.22
07/07/2022,$107.7,4422696,$107.53,$110.82,$106.89
07/06/2022,$108.03,4086380,$108.85,$112.58,$105.9
07/05/2022,$108.38,6545327,$100.92,$110.0799,$98.06
07/01/2022,$101.05,3821775,$95.25,$101.2,$95.09
06/30/2022,$95.24,4417290,$97.08,$97.59,$90.46
06/29/2022,$98.37,3126185,$97.1,$100.95,$95.125
06/28/2022,$97.32,4470030,$104.8,$106.97,$96.13
06/27/2022,$105.2,4215441,$106.16,$107.91,$102.04
06/24/2022,$107.48,6597031,$102.54,$107.81,$102.25
06/23/2022,$100.6,7340958,$92.54,$102.21,$91.3
06/22/2022,$91.09,3657873,$88.5,$95.15,$87.93
06/21/2022,$90.31,4348030,$88,$93.14,$87.15
06/17/2022,$85.63,5898553,$82.31,$87.22,$81.92
06/16/2022,$81.99,6016253,$85.48,$87.79,$81.12
06/15/2022,$89.35,8527535,$86.13,$91.3,$84
06/14/2022,$87.11,4384014,$87.45,$89.86,$84.7001
06/13/2022,$86.14,6710113,$90.63,$94.11,$85.74
06/10/2022,$96.2,5032432,$100.895,$100.98,$93.81
06/09/2022,$103.64,5852281,$107.33,$110.92,$102.9997
06/08/2022,$107.35,3669014,$106.56,$111.82,$106.56
06/07/2022,$108.06,4300767,$101.58,$110.4,$101.17
06/06/2022,$103.16,3962140,$108.38,$109.41,$102.38
06/03/2022,$105.44,5764963,$106.82,$110.95,$103.78
06/02/2022,$110.08,15399710,$97.39,$116.62,$96.2
06/01/2022,$97.5,6668888,$96.84,$103.88,$95.53
05/31/2022,$95.39,5545024,$98.16,$99.39,$93.64
05/27/2022,$98.07,6535322,$91.02,$98.185,$90.63
05/26/2022,$89.63,6696138,$83.21,$91.605,$82.15
05/25/2022,$88.73,5822877,$84.69,$90.38,$83.85
05/24/2022,$85.81,4988014,$91.93,$92.66,$84.14
05/23/2022,$93.93,4170903,$94.53,$95.958,$90.16
05/20/2022,$94.79,6090938,$98.52,$100.9299,$90.18
05/19/2022,$96.525,8148993,$89.83,$100.61,$88.9
05/18/2022,$88.07,9012015,$94.13,$95.05,$84.69
05/17/2022,$95.05,9610383,$100.38,$102,$87.56
05/16/2022,$97.19,6186158,$106.83,$108.93,$96.095
05/13/2022,$108.86,6217016,$103.15,$109.73,$101.61
05/12/2022,$98.83,7124093,$95.5,$105.62,$92.61
05/11/2022,$97.87,7493114,$96.13,$104.74,$94.18
05/10/2022,$98.31,7323487,$101.35,$104.51,$92.39
05/09/2022,$97.53,8865838,$105.1,$108.06,$96.08
05/06/2022,$110,8274776,$109.75,$118.6,$101.3701
05/05/2022,$111.87,11141960,$118,$124.43,$106.86
05/04/2022,$119,6707752,$116.07,$119.33,$104.77
05/03/2022,$114.89,5419455,$119.07,$121.17,$112.8
05/02/2022,$120.2,4289269,$119.94,$123.34,$116.18
04/29/2022,$120.78,3902289,$126.51,$130.66,$120.36
04/28/2022,$128.47,3880179,$124.09,$130.7,$121
04/27/2022,$120.44,4202193,$122.61,$127.43,$119.61
04/26/2022,$119.35,5972838,$121.61,$124.79,$118.2
04/25/2022,$121.68,9132024,$118.49,$124.6,$117.86
04/22/2022,$118.4,4421657,$123.41,$125.39,$117.945
04/21/2022,$121.82,3134912,$133.65,$137.44,$121.2101
04/20/2022,$131.62,2124224,$138.58,$138.58,$130.2
04/19/2022,$137.28,3000162,$131.43,$138.8,$129.92
04/18/2022,$131.11,2213811,$135,$135.585,$127.06
04/14/2022,$136.04,2311097,$142.67,$142.855,$135.35
04/13/2022,$142.87,2855173,$134.95,$144.42,$134.75
04/12/2022,$135.5,2991290,$140,$145.19,$134.8
04/11/2022,$135.09,2726877,$131.63,$137.87,$130.685
04/08/2022,$134.29,2377207,$134.79,$137.28,$132.1326
04/07/2022,$137.24,2340629,$136.11,$140.75,$132.86
04/06/2022,$137.27,4017392,$142.43,$143.38,$134.05
04/05/2022,$146.9,4437091,$156.85,$157.37,$143.91
04/04/2022,$156.56,2675686,$154.03,$159,$153.27
04/01/2022,$153.5,3290097,$150.98,$156.42,$149.89
03/31/2022,$151.47,3879693,$150.73,$156.16,$148.01
03/30/2022,$149.66,3240411,$153,$158.24,$148.54
03/29/2022,$155.41,6686200,$153.96,$157.355,$148.83
03/28/2022,$149.35,2365941,$146.36,$151.3237,$143.51
03/25/2022,$146.84,2755731,$152,$153.1955,$142.03
03/24/2022,$152.21,2786964,$147.94,$152.47,$143.75
03/23/2022,$146.44,2971887,$145.5,$152.6237,$142.02
03/22/2022,$148.65,4634152,$142.19,$151.9216,$140.49
03/21/2022,$140.14,3767416,$142.89,$145.47,$134.6324
03/18/2022,$145.76,4945930,$136.44,$147.945,$135.76
03/17/2022,$137.74,3042618,$131.29,$139,$130.25
03/16/2022,$132.24,5704974,$123.96,$135.5,$122.7301
03/15/2022,$120.94,3475812,$120.355,$121.86,$115.54
03/14/2022,$118.76,6698197,$127,$127,$113.89
03/11/2022,$127.02,4354633,$142.43,$142.46,$126.28
